startloc,weight,workload,trace,group
573,0.964686,627.cam4_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/627.cam4_s-573B.champsimtrace.xz,speccpu/6xx
490,0.0246801,627.cam4_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/627.cam4_s-490B.champsimtrace.xz,speccpu/6xx
277,0.189815,401.bzip2,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/401.bzip2-277B.champsimtrace.xz,speccpu/4xx
7,0.141204,401.bzip2,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/401.bzip2-7B.champsimtrace.xz,speccpu/4xx
38,0.3125,401.bzip2,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/401.bzip2-38B.champsimtrace.xz,speccpu/4xx
226,0.229167,401.bzip2,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/401.bzip2-226B.champsimtrace.xz,speccpu/4xx
50,0.428315,400.perlbench,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/400.perlbench-50B.champsimtrace.xz,speccpu/4xx
41,0.566308,400.perlbench,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/400.perlbench-41B.champsimtrace.xz,speccpu/4xx
18,0.253488,625.x264_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/625.x264_s-18B.champsimtrace.xz,speccpu/6xx
20,0.22093,625.x264_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/625.x264_s-20B.champsimtrace.xz,speccpu/6xx
12,0.0744186,625.x264_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/625.x264_s-12B.champsimtrace.xz,speccpu/6xx
39,0.246512,625.x264_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/625.x264_s-39B.champsimtrace.xz,speccpu/6xx
33,0.202326,625.x264_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/625.x264_s-33B.champsimtrace.xz,speccpu/6xx
1390,0.404113,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-1390B.champsimtrace.xz,speccpu/6xx
294,0.0147128,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-294B.champsimtrace.xz,speccpu/6xx
1021,0.0283718,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-1021B.champsimtrace.xz,speccpu/6xx
293,0.0131127,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-293B.champsimtrace.xz,speccpu/6xx
1070,0.0192398,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-1070B.champsimtrace.xz,speccpu/6xx
1613,0.0158445,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-1613B.champsimtrace.xz,speccpu/6xx
1007,0.0307914,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-1007B.champsimtrace.xz,speccpu/6xx
523,0.0375429,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-523B.champsimtrace.xz,speccpu/6xx
842,0.431392,654.roms_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/654.roms_s-842B.champsimtrace.xz,speccpu/6xx
2676,0.176003,619.lbm_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/619.lbm_s-2676B.champsimtrace.xz,speccpu/6xx
4268,0.418157,619.lbm_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/619.lbm_s-4268B.champsimtrace.xz,speccpu/6xx
3766,0.214938,619.lbm_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/619.lbm_s-3766B.champsimtrace.xz,speccpu/6xx
2677,0.177791,619.lbm_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/619.lbm_s-2677B.champsimtrace.xz,speccpu/6xx
33,0.115205,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-33B.champsimtrace.xz,speccpu/4xx
426,0.124524,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-426B.champsimtrace.xz,speccpu/4xx
321,0.116476,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-321B.champsimtrace.xz,speccpu/4xx
120,0.108429,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-120B.champsimtrace.xz,speccpu/4xx
44,0.113511,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-44B.champsimtrace.xz,speccpu/4xx
166,0.109699,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-166B.champsimtrace.xz,speccpu/4xx
23,0.13723,444.namd,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/444.namd-23B.champsimtrace.xz,speccpu/4xx
2302,0.41243,657.xz_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/657.xz_s-2302B.champsimtrace.xz,speccpu/6xx
56,0.0951763,657.xz_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/657.xz_s-56B.champsimtrace.xz,speccpu/6xx
3167,0.425974,657.xz_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/657.xz_s-3167B.champsimtrace.xz,speccpu/6xx
4994,0.0638219,657.xz_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/657.xz_s-4994B.champsimtrace.xz,speccpu/6xx
188,0.944732,471.omnetpp,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/471.omnetpp-188B.champsimtrace.xz,speccpu/4xx
247,0.486842,450.soplex,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/450.soplex-247B.champsimtrace.xz,speccpu/4xx
92,0.347368,450.soplex,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/450.soplex-92B.champsimtrace.xz,speccpu/4xx
271,0.125115,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-271B.champsimtrace.xz,speccpu/4xx
232,0.124656,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-232B.champsimtrace.xz,speccpu/4xx
149,0.133609,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-149B.champsimtrace.xz,speccpu/4xx
273,0.171947,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-273B.champsimtrace.xz,speccpu/4xx
134,0.126033,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-134B.champsimtrace.xz,speccpu/4xx
265,0.120753,437.leslie3d,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/437.leslie3d-265B.champsimtrace.xz,speccpu/4xx
10316,0.875316,638.imagick_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/638.imagick_s-10316B.champsimtrace.xz,speccpu/6xx
